Step	R^2
0	0
1	2
2	4.4
3	6.8
4	9.6
5	12.4
6	10.4
7	11.6
8	15.2
9	17.2
10	21.6
11	21.2
12	21.6
13	20.4
14	19.6
15	18
16	27.2
17	30
18	23.6
19	26.8
20	27.6
21	31.6
22	33.6
23	38.8
24	43.2
25	52.4
26	57.2
27	64.4
28	66
29	70.8
30	88.4
31	99.6
32	97.6
33	107.6
34	105.2
35	102
36	110.8
37	118.8
38	141.2
39	143.6
40	152.4
41	164.4
42	179.6
43	184.4
44	190.4
45	198
46	213.6
47	219.6
48	226
49	218.8
50	216.4
51	206
52	224.4
53	242
54	254
55	266
56	268.8
57	274
58	266.4
59	281.2
60	288
61	294
62	291.6
63	294
64	311.2
65	313.2
66	317.6
67	330
68	336.4
69	341.2
70	327.2
71	318
72	332
73	329.2
74	334.4
75	327.6
76	324.8
77	328.4
78	331.6
79	331.6
80	343.2
81	329.2
82	333.6
83	335.6
84	339.6
85	342
86	350.4
87	368.4
88	394.8
89	390.8
90	408.8
91	414
92	420
93	407.6
94	432.8
95	430.8
96	429.2
97	446
98	431.6
99	445.2
100	451.6
101	432.4
102	450.4
103	443.6
104	463.6
105	489.2
106	478
107	495.6
108	512
109	528.4
110	545.2
111	557.2
112	556.4
113	580.4
114	567.2
115	548.4
116	568.8
117	560.4
118	572
119	575.6
120	561.2
121	582
122	602.8
123	593.2
124	591.6
125	606.8
126	608.4
127	613.2
128	610.8
129	598
130	608.8
131	622
132	636.8
133	632.4
134	653.6
135	650
136	662.4
137	648.4
138	636.8
139	638
140	642.4
141	624.4
142	629.2
143	608.4
144	628.8
145	624.4
146	623.6
147	622.8
148	626
149	637.2
150	648.4
151	671.6
152	665.6
153	698.8
154	750.8
155	724.4
156	722.4
157	744.4
158	747.6
159	756.4
160	726
161	750.8
162	726.4
163	743.6
164	756.8
165	773.2
166	778
167	795.6
168	816.4
169	799.6
170	813.6
171	795.6
172	800.8
173	814.8
174	812.4
175	821.2
176	836.8
177	857.2
178	883.6
179	902
180	900.4
181	906.8
182	918
183	935.6
184	954.8
185	969.2
186	990.8
187	1010.8
188	991.6
189	996.4
190	984.4
191	953.2
192	944
193	962.8
194	992.8
195	995.6
196	991.2
197	1034
198	1042.4
199	1016.4
200	1063.6
201	1069.2
202	1142
203	1158
204	1162.4
205	1124.4
206	1136
207	1124.4
208	1148
209	1190.8
210	1199.6
211	1205.2
212	1240.8
213	1246
214	1258
215	1270
216	1282.4
217	1256.4
218	1270.8
219	1297.2
220	1314.8
221	1342.8
222	1354.8
223	1344.4
224	1379.2
225	1411.6
226	1406.4
227	1439.6
228	1413.2
229	1422.8
230	1428
231	1420.4
232	1472.4
233	1508.4
234	1526.4
235	1526
236	1530.8
237	1514
238	1573.2
239	1570.8
240	1592.8
241	1610.8
242	1652
243	1610
244	1611.2
245	1599.6
246	1633.2
247	1626.8
248	1638.4
249	1633.2
250	1663.2
251	1637.2
252	1676.8
253	1729.2
254	1782.4
255	1817.2
256	1838
257	1847.6
258	1849.2
259	1896.4
260	1903.6
261	1876.4
262	1868.4
263	1877.2
264	1905.6
265	1941.2
266	1964.4
267	1986.8
268	1958
269	1947.6
270	1962
271	1976.4
272	2004.4
273	2026.8
274	2032.4
275	2032.4
276	2024
277	1981.2
278	1963.2
279	1977.2
280	1986.8
281	2037.2
282	2058.8
283	2086.8
284	2139.6
285	2159.6
286	2159.6
287	2166.8
288	2125.6
289	2111.6
290	2143.2
291	2147.6
292	2184.4
293	2246
294	2262.4
295	2226.8
296	2221.2
297	2228.4
298	2316
299	2329.2
300	2348
301	2359.6
302	2381.2
303	2387.6
304	2403.2
305	2385.2
306	2390.8
307	2409.2
308	2402
309	2405.2
310	2459.2
311	2449.2
312	2452.8
313	2438.8
314	2448.4
315	2489.2
316	2465.2
317	2465.2
318	2460.4
319	2499.6
320	2486.4
321	2462
322	2502
323	2514
324	2540.8
325	2548.4
326	2524.8
327	2552.4
328	2557.6
329	2575.6
330	2658
331	2629.2
332	2611.6
333	2644.4
334	2634
335	2652.4
336	2649.6
337	2713.2
338	2727.6
339	2716.4
340	2688.4
341	2718
342	2757.6
343	2785.2
344	2784.4
345	2801.2
346	2738.4
347	2722
348	2722
349	2745.2
350	2705.6
351	2731.6
352	2711.6
353	2702
354	2707.6
355	2750
356	2769.6
357	2780.4
358	2803.2
359	2823.6
360	2818
361	2803.6
362	2764
363	2818
364	2854
365	2851.6
366	2910
367	2904.4
368	2958.8
369	2976.4
370	2971.2
371	2947.6
372	2965.6
373	2994.8
374	2991.6
375	3023.6
376	3036.8
377	3086.8
378	3039.2
379	3117.2
380	3133.2
381	3130.8
382	3130.8
383	3158
384	3208.8
385	3154
386	3169.6
387	3187.6
388	3295.2
389	3314
390	3314.4
391	3331.6
392	3296.4
393	3393.2
394	3375.2
395	3374.8
396	3402
397	3358.8
398	3376
399	3404.4
400	3419.2
401	3429.2
402	3413.6
403	3364.4
404	3333.2
405	3375.6
406	3361.2
407	3378.8
408	3359.6
409	3299.6
410	3297.6
411	3310.8
412	3299.2
413	3318
414	3295.6
415	3264.4
416	3272.4
417	3355.6
418	3371.2
419	3382
420	3386.4
421	3388.4
422	3347.6
423	3355.6
424	3380
425	3398.8
426	3473.2
427	3469.2
428	3523.2
429	3597.2
430	3591.6
431	3646
432	3614
433	3579.6
434	3620
435	3546.8
436	3574.4
437	3546
438	3612.8
439	3689.2
440	3684.8
441	3730.8
442	3708
443	3736.4
444	3810
445	3865.2
446	3953.6
447	3987.6
448	4013.6
449	4038
450	4010.4
451	4062
452	4140.4
453	4214.8
454	4274.4
455	4278
456	4234.8
457	4308.4
458	4298
459	4350.8
460	4369.6
461	4442
462	4502.4
463	4547.6
464	4569.2
465	4527.6
466	4384
467	4306.8
468	4338.8
469	4394.8
470	4380.4
471	4384.4
472	4424.8
473	4360.4
474	4428.8
475	4422
476	4484
477	4496.4
478	4488
479	4518.8
480	4479.6
481	4452.4
482	4440.4
483	4455.6
484	4430.4
485	4515.6
486	4551.2
487	4548.4
488	4564.8
489	4588.4
490	4545.2
491	4579.6
492	4645.2
493	4657.2
494	4719.2
495	4723.6
496	4812
497	4896.4
498	4922.8
499	4968.4
500	5023.2
501	5018.8
502	4976
503	5010
504	5028.4
505	5019.6
506	4971.6
507	5080.4
508	5115.6
509	5086
510	5046.8
511	5085.2
512	5082.8
513	5017.2
514	5022
515	5002.8
516	4989.6
517	4988.4
518	5052
519	5131.6
520	5166.4
521	5186.8
522	5195.2
523	5244.4
524	5344.4
525	5396.4
526	5386.4
527	5353.2
528	5390.4
529	5403.6
530	5477.6
531	5569.2
532	5637.2
533	5670.8
534	5647.2
535	5642
536	5518
537	5554.8
538	5582.4
539	5654.8
540	5648.8
541	5609.2
542	5641.6
543	5686
544	5632.8
545	5630
546	5634.8
547	5654.8
548	5780.4
549	5690
550	5744.8
551	5807.6
552	5804
553	5852.4
554	5854.8
555	5907.6
556	5893.2
557	5825.2
558	5892
559	5954.8
560	6001.6
561	6102
562	6091.6
563	6065.2
564	6124.4
565	6052.4
566	6066.8
567	6040.4
568	6120
569	6170.8
570	6110.4
571	6129.2
572	6104.4
573	6175.6
574	6253.2
575	6251.6
576	6275.6
577	6344.4
578	6418.8
579	6426.8
580	6406.4
581	6498.8
582	6520
583	6592.4
584	6586.4
585	6681.2
586	6708
587	6762
588	6711.6
589	6750.8
590	6724
591	6646
592	6687.6
593	6709.2
594	6694.8
595	6678
596	6610.8
597	6673.2
598	6697.6
599	6802
600	6914
601	6878
602	6914.4
603	7023.6
604	7119.2
605	7070
606	7111.2
607	7158.8
608	7165.6
609	7232.4
610	7262
611	7150
612	7216.8
613	7144.4
614	7199.2
615	7205.2
616	7208.4
617	7149.2
618	7124.8
619	7253.2
620	7311.6
621	7390.8
622	7450
623	7427.6
624	7476.8
625	7528.4
626	7639.2
627	7669.2
628	7640.8
629	7578.8
630	7550
631	7498.8
632	7590.8
633	7741.2
634	7762.8
635	7798.8
636	7820.4
637	7844.4
638	7881.6
639	7953.2
640	8007.2
641	8018.8
642	7951.2
643	7954
644	8055.6
645	8031.6
646	8135.2
647	8125.2
648	8110.4
649	8018.8
650	7928.4
651	7912.4
652	8090
653	8120.4
654	8011.2
655	8008.4
656	8017.2
657	8054
658	7995.6
659	7970
660	7936
661	7974.8
662	8036.4
663	8082
664	8087.2
665	8085.2
666	8157.6
667	8145.2
668	8128.4
669	8254.8
670	8214.8
671	8180.4
672	8289.6
673	8358.8
674	8418
675	8409.2
676	8380
677	8431.6
678	8496.4
679	8586
680	8657.2
681	8651.6
682	8632.8
683	8630.8
684	8610
685	8638.8
686	8599.6
687	8599.6
688	8548.8
689	8580.4
690	8594
691	8704.4
692	8760.4
693	8685.2
694	8814.4
695	8862.8
696	8897.6
697	8957.2
698	9021.2
699	8922.8
700	9032
701	9104.4
702	9191.2
703	9258.8
704	9197.2
705	9224.4
706	9290.4
707	9290
708	9266
709	9277.2
710	9206.8
711	9237.2
712	9309.6
713	9450.8
714	9511.6
715	9610.8
716	9690.4
717	9766
718	9811.2
719	9910
720	9924
721	10065.2
722	10023.6
723	10137.2
724	10281.6
725	10182.8
726	10167.6
727	10108.4
728	10088.4
729	10154.8
730	10087.6
731	10205.2
732	10280
733	10241.2
734	10214.8
735	10194.8
736	10305.6
737	10387.6
738	10374
739	10402.8
740	10420.4
741	10460.4
742	10496.4
743	10546
744	10581.6
745	10658.8
746	10620
747	10478.8
748	10476.4
749	10409.2
750	10437.2
751	10533.2
752	10600.8
753	10650.8
754	10688.8
755	10681.2
756	10696
757	10746
758	10798.8
759	10844.4
760	10812.8
761	10890
762	10937.2
763	11114
764	11145.2
765	11187.6
766	11264
767	11344.4
768	11400.4
769	11377.2
770	11360
771	11324.4
772	11158.8
773	11176.4
774	11158.8
775	11115.6
776	11102.4
777	11092.4
778	11097.6
779	11137.2
780	11059.6
781	11092.4
782	11113.6
783	11075.6
784	10982.4
785	11048.4
786	11120.8
787	11110.8
788	11098.8
789	11111.6
790	11073.6
791	11070.8
792	11166.8
793	11170
794	11182.4
795	11314.8
796	11360.4
797	11481.2
798	11628.4
799	11691.6
800	11529.6
801	11582
802	11664.8
803	11784.4
804	11770
805	11842
806	11769.2
807	11909.2
808	11850.8
809	12014
810	12030.8
811	12048.4
