Step	R^2
0	0
1	2
2	3.8
3	6.16
4	7.68
5	9.52
6	10.44
7	12.48
8	16.04
9	15.92
10	18.4
11	20.96
12	24
13	25.76
14	27.64
15	31.84
16	33.64
17	35.92
18	39.24
19	40.8
20	43.48
21	45.36
22	49.68
23	52.16
24	56.4
25	61.28
26	66.2
27	69.44
28	72.56
29	75.2
30	80.92
31	82.32
32	83.76
33	89.2
34	94.76
35	95.2
36	99.44
37	104.96
38	108.96
39	112.24
40	112.68
41	117.04
42	118
43	121.52
44	124.84
45	130.48
46	134.52
47	138.96
48	145.92
49	143.04
50	142.56
51	141.68
52	142.8
53	145.44
54	149.8
55	152.56
56	152.16
57	156.4
58	160.68
59	168.56
60	173.68
61	176.88
62	178.76
63	183.04
64	189.8
65	196.56
66	205.32
67	211.2
68	215.96
69	217.2
70	216.64
71	214.96
72	222.2
73	227.2
74	228.36
75	233.36
76	237.64
77	242.64
78	247.24
79	253.92
80	259.16
81	263.12
82	270.48
83	276.72
84	280.24
85	286.4
86	289.4
87	298
88	302.68
89	305.36
90	312
91	319.04
92	313.8
93	318.96
94	324
95	332.96
96	329.96
97	337.68
98	337.72
99	344.88
100	348.12
101	349.2
102	348.6
103	355.6
104	365.24
105	372.48
106	379.28
107	389.76
108	393.76
109	399.36
110	403
111	406.8
112	406.68
113	414.48
114	413.56
115	421.28
116	434.72
117	441.36
118	446.56
119	456.96
120	458.64
121	465.36
122	474.72
123	475.04
124	472.44
125	477.36
126	480.2
127	489.12
128	491.2
129	496.32
130	493.92
131	495.36
132	504.68
133	509.28
134	520.28
135	524.72
136	529.84
137	539.92
138	547.44
139	549.52
140	550.64
141	554.72
142	558.52
143	558.48
144	568.36
145	572.16
146	567.44
147	573.84
148	576.52
149	581.04
150	584.88
151	595.04
152	592.08
153	603.2
154	610.24
155	611.52
156	617.88
157	625.04
158	628.88
159	632.96
160	627.96
161	632.16
162	633.04
163	643.28
164	650.24
165	653.04
166	659.8
167	673.44
168	672.84
169	665.2
170	672.52
171	675.68
172	678.68
173	688.48
174	688.84
175	690.72
176	711.6
177	721.52
178	731.36
179	739.68
180	746.88
181	755.92
182	763.96
183	766.16
184	785.92
185	793.12
186	793.6
187	806.16
188	809.96
189	826.88
190	834.08
191	834.64
192	836.48
193	844.64
194	849.04
195	851.2
196	860.08
197	870.56
198	876.64
199	876.24
200	890.16
201	905.76
202	916.28
203	921.2
204	928.72
205	923.2
206	931.2
207	940.72
208	953.84
209	967.84
210	992.08
211	1000.48
212	1011.04
213	1026.08
214	1035
215	1036.96
216	1039.12
217	1041.84
218	1050
219	1061.36
220	1076.88
221	1081.68
222	1075.52
223	1080.56
224	1098.56
225	1109.52
226	1124.4
227	1129.04
228	1129.88
229	1140.08
230	1140.72
231	1148
232	1156.64
233	1174.56
234	1189.08
235	1190.4
236	1195.08
237	1203.36
238	1216.44
239	1227.2
240	1239.36
241	1248.32
242	1270.56
243	1278.64
244	1292.24
245	1284.96
246	1293.88
247	1294.72
248	1304.88
249	1328.48
250	1334.52
251	1341.92
252	1360.56
253	1375.92
254	1377.28
255	1392.96
256	1404.16
257	1410.16
258	1419.2
259	1433.6
260	1444.8
261	1455.28
262	1463.8
263	1474
264	1484.28
265	1495.44
266	1503.52
267	1509.76
268	1504.72
269	1501.2
270	1505.28
271	1515.68
272	1547.12
273	1578.16
274	1587.96
275	1584.08
276	1592.88
277	1589.2
278	1592.96
279	1612.32
280	1616.56
281	1638.32
282	1657.64
283	1678.32
284	1696.36
285	1714.16
286	1720.76
287	1733.92
288	1737.16
289	1748.32
290	1760.76
291	1768.88
292	1784.44
293	1801.2
294	1818.04
295	1825.04
296	1828.16
297	1837.76
298	1841.08
299	1854.32
300	1864.88
301	1866.4
302	1879.08
303	1877.44
304	1892.52
305	1883.36
306	1888.2
307	1898.88
308	1906.88
309	1912.16
310	1928.76
311	1939.6
312	1953.76
313	1961.84
314	1968.88
315	1976.8
316	1991.48
317	2013.52
318	2017.48
319	2044.56
320	2045.92
321	2065.6
322	2080.32
323	2090.88
324	2100.72
325	2110.8
326	2109.44
327	2125.12
328	2141.84
329	2158.56
330	2171.2
331	2172
332	2182.52
333	2182.56
334	2190.56
335	2199.44
336	2205.44
337	2212.24
338	2229.28
339	2232.56
340	2244.56
341	2252.16
342	2267.92
343	2286.32
344	2310.32
345	2319.12
346	2325.72
347	2327.28
348	2332.76
349	2353.28
350	2362.52
351	2385.04
352	2393.04
353	2406
354	2421.04
355	2428.96
356	2434.52
357	2455.12
358	2466.8
359	2496.32
360	2527.32
361	2532.64
362	2548.44
363	2572.24
364	2578.72
365	2597.68
366	2603.56
367	2621.28
368	2617.36
369	2644.4
370	2645.44
371	2664.88
372	2670.36
373	2674.08
374	2687.4
375	2721.28
376	2733.36
377	2744.32
378	2750.32
379	2762.4
380	2777.8
381	2790.48
382	2806.28
383	2810.24
384	2832
385	2849.44
386	2857.08
387	2868.96
388	2896.12
389	2908
390	2920.48
391	2933.44
392	2948.08
393	2960.4
394	2967.04
395	2972.32
396	2997.72
397	2995.52
398	3010.08
399	3027.28
400	3029.36
401	3058.08
402	3070.56
403	3064.8
404	3087.36
405	3104.56
406	3114.44
407	3129.84
408	3134.68
409	3140.32
410	3146.12
411	3166.24
412	3168.2
413	3188.56
414	3185.32
415	3191.52
416	3208.2
417	3230.08
418	3253.76
419	3270.64
420	3293.68
421	3301.28
422	3292.96
423	3319.68
424	3335.56
425	3370.4
426	3383.76
427	3398.08
428	3420.68
429	3437.12
430	3449
431	3452.16
432	3465.12
433	3467.04
434	3484.64
435	3484.48
436	3520.56
437	3517.36
438	3559.12
439	3574.4
440	3595.04
441	3609.92
442	3617.68
443	3631.44
444	3647.88
445	3667.28
446	3690.84
447	3712.08
448	3724.96
449	3728.64
450	3740.88
451	3764.56
452	3764
453	3779.36
454	3803.84
455	3824.64
456	3856.48
457	3870.64
458	3892.8
459	3900.4
460	3928.72
461	3954
462	3953.72
463	3968.24
464	4002.12
465	3986.56
466	3985.8
467	4003.6
468	4004.76
469	4042.48
470	4051.44
471	4055.52
472	4061.68
473	4081.76
474	4096.08
475	4113.92
476	4124.68
477	4133.36
478	4155.08
479	4172.4
480	4191.36
481	4208.64
482	4204.48
483	4229.36
484	4257.36
485	4292.08
486	4302.44
487	4310.24
488	4321.24
489	4352.72
490	4358.64
491	4390.48
492	4411.68
493	4428.4
494	4428.68
495	4426.8
496	4449.32
497	4440.88
498	4460.04
499	4493.84
500	4515.92
501	4531.52
502	4554.76
503	4580.16
504	4607.36
505	4614
506	4623.24
507	4643.52
508	4666.12
509	4708
510	4722.36
511	4744.48
512	4763.36
513	4782
514	4798.16
515	4804.56
516	4812.72
517	4839.2
518	4848.48
519	4868.96
520	4876.56
521	4916.88
522	4926.12
523	4910.72
524	4941.52
525	4975.76
526	5003.16
527	5026.96
528	5058.88
529	5071.44
530	5090.84
531	5112.72
532	5119
533	5132.24
534	5157.44
535	5187.12
536	5181.4
537	5201.44
538	5214.04
539	5229.84
540	5241.36
541	5239.84
542	5267.24
543	5282.72
544	5278.4
545	5296.4
546	5321.96
547	5325.6
548	5335.52
549	5340.72
550	5372.24
551	5386.96
552	5402.88
553	5434.56
554	5448.52
555	5475.68
556	5478.76
557	5481.92
558	5524.68
559	5536.64
560	5526.32
561	5564.4
562	5602.08
563	5635.44
564	5632.28
565	5642.08
566	5675.88
567	5693.6
568	5735.92
569	5770.08
570	5782.84
571	5793.76
572	5817.32
573	5836.08
574	5866.08
575	5872.88
576	5883.04
577	5909.6
578	5940.32
579	5969.04
580	5994.2
581	6031.52
582	6052.44
583	6075.12
584	6096
585	6112.08
586	6127.44
587	6130.32
588	6142.64
589	6130.32
590	6140.84
591	6143.2
592	6170.12
593	6174.56
594	6206.4
595	6226.4
596	6258.4
597	6294.72
598	6313.16
599	6332.08
600	6359.92
601	6351.68
602	6365.68
603	6392.56
604	6432.76
605	6450.72
606	6469.32
607	6495.2
608	6497.92
609	6534.56
610	6581.08
611	6593.84
612	6622.56
613	6634.16
614	6660.2
615	6689.68
616	6733.96
617	6780.88
618	6785.08
619	6802.4
620	6794.8
621	6812.32
622	6813.76
623	6838.24
624	6881.72
625	6933.76
626	6955.32
627	7010.48
628	7029.16
629	6983.28
630	6968.48
631	6974.88
632	6987.2
633	7014.56
634	7037.48
635	7067.2
636	7100.32
637	7145.28
638	7191.8
639	7212.56
640	7239.24
641	7264.64
642	7292.8
643	7300.16
644	7311.6
645	7340.16
646	7373.16
647	7391.92
648	7405.52
649	7419.36
650	7419.92
651	7435.28
652	7439.92
653	7480.72
654	7486.76
655	7501.68
656	7532
657	7579.92
658	7588.12
659	7604.4
660	7632.92
661	7659.12
662	7688.08
663	7700.8
664	7731.36
665	7744.48
666	7802.64
667	7818.24
668	7829.8
669	7855.84
670	7846.8
671	7868.8
672	7900.08
673	7908.8
674	7933.12
675	7949.2
676	7987.72
677	8011.6
678	8040.44
679	8072.72
680	8081.48
681	8067.6
682	8088.84
683	8127.36
684	8134.88
685	8179.76
686	8210.16
687	8219.92
688	8216.88
689	8238.88
690	8244.36
691	8283.84
692	8258.24
693	8285.2
694	8288.76
695	8310.56
696	8359.88
697	8368.48
698	8364.16
699	8380.48
700	8419.8
701	8446
702	8468.76
703	8497.44
704	8494.12
705	8508.96
706	8522.08
707	8547.28
708	8582.84
709	8600.4
710	8609.52
711	8636.48
712	8684.12
713	8705.36
714	8741.84
715	8785.76
716	8808.88
717	8823.04
718	8867.8
719	8864.32
720	8895.56
721	8919.44
722	8912.04
723	8944.4
724	8940.2
725	8963.12
726	9011.88
727	9021.84
728	9029.04
729	9081.2
730	9074.08
731	9155.76
732	9189.56
733	9189.36
734	9206.64
735	9248.16
736	9295.08
737	9348.4
738	9348.24
739	9357.68
740	9380.16
741	9394.48
742	9436.6
743	9470.08
744	9468.84
745	9495.28
746	9517
747	9498.24
748	9549.12
749	9580.72
750	9592.64
751	9617.2
752	9646.8
753	9700.64
754	9729.92
755	9788
756	9822.68
757	9847.12
758	9870.28
759	9887.6
760	9931.48
761	9974.8
762	10019.4
763	10048.9
764	10045.3
765	10062
766	10073
767	10109.4
768	10154.6
769	10147.5
770	10133.7
771	10181.8
772	10208.2
773	10216.6
774	10235.3
775	10229.7
776	10270.8
777	10327.4
