Step	R^2
0	0
1	2
2	4
3	10
4	8
5	10
6	16
7	10
8	20
9	26
10	40
11	26
12	36
13	50
14	40
15	26
16	40
17	26
18	20
19	34
20	20
21	26
22	40
23	58
24	40
25	58
26	40
27	58
28	52
29	34
30	40
31	58
32	40
33	34
34	40
35	50
36	36
37	50
38	64
39	50
40	68
41	82
42	104
43	122
44	104
45	90
46	104
47	130
48	160
49	178
50	200
51	178
52	200
53	234
54	272
55	250
56	292
57	250
58	232
59	274
60	232
61	194
62	160
63	178
64	200
65	226
66	196
67	226
68	260
69	298
70	328
71	370
72	340
73	370
74	416
75	370
76	404
77	362
78	324
79	290
80	256
81	290
82	324
83	290
84	256
85	290
86	328
87	290
88	324
89	290
90	328
91	362
92	324
93	290
94	260
95	234
96	260
97	298
98	260
99	290
100	324
101	290
102	260
103	226
104	200
105	234
106	200
107	170
108	196
109	170
110	200
111	226
112	260
113	234
114	260
115	298
116	328
117	362
118	400
119	362
120	404
121	450
122	500
123	554
124	592
125	634
126	692
127	738
128	680
129	626
130	680
131	738
132	680
133	730
134	676
135	730
136	680
137	626
138	580
139	634
140	680
141	626
142	576
143	530
144	576
145	530
146	484
147	530
148	580
149	634
150	680
151	634
152	580
153	634
154	692
155	738
156	692
157	754
158	692
159	650
160	692
161	754
162	820
163	866
164	820
165	890
166	820
167	866
168	820
169	890
170	964
171	890
172	848
173	810
174	776
175	850
176	820
177	850
178	884
179	810
180	776
181	746
182	720
183	794
184	872
185	954
186	980
187	1010
188	1044
189	1010
190	1096
191	1186
192	1156
193	1130
194	1156
195	1066
196	980
197	1066
198	1156
199	1250
200	1348
201	1378
202	1480
203	1514
204	1552
205	1450
206	1492
207	1594
208	1640
209	1690
210	1796
211	1746
212	1856
213	1970
214	2088
215	2210
216	2336
217	2210
218	2164
219	2122
220	2000
221	2122
222	2164
223	2122
224	2248
225	2378
226	2420
227	2466
228	2336
229	2386
230	2336
231	2210
232	2336
233	2466
234	2600
235	2466
236	2420
237	2554
238	2692
239	2834
240	2880
241	2930
242	3076
243	3130
244	2984
245	3042
246	2900
247	2842
248	2788
249	2930
250	3076
251	3026
252	3176
253	3330
254	3488
255	3442
256	3400
257	3562
258	3400
259	3442
260	3488
261	3442
262	3400
263	3242
264	3400
265	3562
266	3604
267	3442
268	3284
269	3242
270	3088
271	3130
272	3176
273	3130
274	3284
275	3330
276	3488
277	3538
278	3488
279	3538
280	3700
281	3754
282	3920
283	4090
284	4148
285	4322
286	4384
287	4322
288	4148
289	4210
290	4276
291	4346
292	4420
293	4594
294	4520
295	4450
296	4276
297	4346
298	4520
299	4346
300	4420
301	4346
302	4276
303	4450
304	4276
305	4106
306	4176
307	4250
308	4328
309	4162
310	4244
311	4410
312	4496
313	4330
314	4168
315	4330
316	4168
317	4258
318	4168
319	4010
320	3924
321	3770
322	3688
323	3842
324	3924
325	3770
326	3856
327	3946
328	4100
329	4010
330	4100
331	3946
332	4040
333	3946
334	4040
335	3890
336	3988
337	4138
338	4292
339	4194
340	4040
341	3946
342	4040
343	4138
344	4292
345	4138
346	3988
347	3842
348	3988
349	4138
350	4240
351	4090
352	3988
353	3842
354	3944
355	3802
356	3908
357	3802
358	3944
359	4050
360	3944
361	3802
362	3700
363	3802
364	3908
365	3770
366	3880
367	4018
368	3880
369	3770
370	3880
371	3746
372	3616
373	3746
374	3880
375	3770
376	3880
377	4018
378	3908
379	4018
380	4132
381	3994
382	4132
383	4018
384	4160
385	4050
386	4160
387	4274
388	4420
389	4538
390	4392
391	4514
392	4660
393	4810
394	4964
395	4810
396	4660
397	4538
398	4420
399	4306
400	4420
401	4570
402	4688
403	4810
404	4660
405	4786
406	4660
407	4514
408	4640
409	4498
410	4360
411	4234
412	4360
413	4226
414	4096
415	3970
416	3844
417	3970
418	4100
419	4226
420	4096
421	3970
422	3848
423	3978
424	3860
425	3994
426	4112
427	3978
428	4100
429	4226
430	4100
431	4234
432	4100
433	3978
434	3848
435	3730
436	3848
437	3722
438	3848
439	3970
440	3844
441	3970
442	3844
443	3970
444	4096
445	3970
446	4100
447	4234
448	4100
449	4226
450	4096
451	4226
452	4360
453	4226
454	4360
455	4234
456	4112
457	4250
458	4392
459	4538
460	4660
461	4810
462	4936
463	4810
464	4688
465	4538
466	4392
467	4250
468	4392
469	4538
470	4392
471	4274
472	4160
473	4018
474	4160
475	4018
476	3880
477	4018
478	4160
479	4274
480	4160
481	4050
482	3908
483	4050
484	4160
485	4306
486	4456
487	4610
488	4768
489	4610
490	4724
491	4570
492	4724
493	4842
494	5000
495	5162
496	5328
497	5498
498	5380
499	5266
500	5156
501	4986
502	5156
503	5266
504	5380
505	5266
506	5156
507	5330
508	5440
509	5330
510	5156
511	5330
512	5440
513	5266
514	5380
515	5266
516	5156
517	5330
518	5440
519	5554
520	5440
521	5618
522	5732
523	5914
524	5732
525	5914
526	5800
527	5690
528	5508
529	5402
530	5584
531	5770
532	5668
533	5770
534	5584
535	5770
536	5668
537	5858
538	5960
539	6154
540	5960
541	6154
542	6260
543	6458
544	6260
545	6154
546	6052
547	6154
548	6352
549	6154
550	6052
551	6154
552	5960
553	6154
554	6352
555	6554
556	6760
557	6658
558	6452
559	6554
560	6760
561	6970
562	6868
563	6770
564	6984
565	6890
566	6984
567	7202
568	7424
569	7650
570	7556
571	7650
572	7424
573	7522
574	7624
575	7522
576	7748
577	7978
578	8212
579	8450
580	8552
581	8658
582	8552
583	8794
584	8552
585	8314
586	8552
587	8794
588	8692
589	8594
590	8840
591	8938
592	9188
593	9442
594	9700
595	9442
596	9188
597	8938
598	9040
599	9146
600	9396
601	9146
602	8900
603	9146
604	9396
605	9290
606	9544
607	9650
608	9544
609	9650
610	9396
611	9290
612	9040
613	8938
614	8840
615	8938
616	9188
617	8938
618	9040
619	9290
620	9396
621	9650
622	9760
623	9874
624	10132
625	10394
626	10660
627	10930
628	10816
629	10706
630	10980
631	10706
632	10816
633	10930
634	11204
635	10930
636	11048
637	10778
638	10660
639	10930
640	10816
641	11090
642	10816
643	11090
644	11204
645	10930
646	10816
647	10546
648	10660
649	10546
650	10436
651	10706
652	10980
653	11090
654	10980
655	11090
656	11368
657	11650
658	11368
659	11258
660	10980
661	10706
662	10980
663	11258
664	10980
665	11258
666	11152
667	10874
668	10980
669	11258
670	11540
671	11258
672	11540
673	11650
674	11936
675	11650
676	11368
677	11650
678	11936
679	12226
680	12520
681	12818
682	13120
683	13010
684	13316
685	13626
686	13736
687	13626
688	13316
689	13210
690	13316
691	13626
692	13940
693	13834
694	14152
695	14050
696	14152
697	14050
698	14372
699	14050
700	14372
701	14698
702	14600
703	14930
704	15028
705	15130
706	15464
707	15570
708	15680
709	15794
710	15460
711	15346
712	15460
713	15578
714	15700
715	16034
716	15912
717	16250
718	16372
719	16250
720	16372
721	16498
722	16372
723	16714
724	17060
725	16714
726	16840
727	16970
728	16840
729	16970
730	16628
731	16970
732	16840
733	16714
734	17060
735	17410
736	17536
737	17890
738	17536
739	17890
740	18020
741	17666
742	17316
743	17666
744	18020
745	18154
746	18512
747	18154
748	18512
749	18874
750	18512
751	18154
752	18292
753	18434
754	18292
755	18154
756	18512
757	18154
758	18292
759	18650
760	18512
761	18874
762	18512
763	18874
764	19012
765	19378
766	19748
767	20122
768	19984
769	19610
770	19984
771	19850
772	19476
773	19106
774	19476
775	19850
776	19476
777	19346
778	19476
779	19346
780	18976
781	19106
782	19240
783	19378
784	19012
785	19378
786	19748
787	19890
788	19748
789	20122
790	19748
791	19890
792	20264
793	20410
794	20788
795	21170
796	21556
797	21946
798	21800
799	22194
800	22052
801	22194
802	22340
803	22738
804	22888
805	23290
806	23444
807	23850
808	23696
809	24106
810	24260
811	24418
812	24580
813	24418
814	24008
815	24170
816	24336
817	24746
818	24336
819	24746
820	25160
821	25578
822	25748
823	25922
824	26344
825	26770
826	26344
827	25922
828	25748
829	25578
830	25748
831	25578
832	25160
833	25578
834	25160
835	25578
836	25412
837	25834
838	25412
839	25834
840	26260
841	26690
842	26856
843	26690
844	26856
845	27290
846	27728
847	27562
848	27124
849	26690
850	26528
851	26962
852	27124
853	27562
854	27400
855	27562
856	27400
857	27242
858	27088
859	27242
860	27400
861	27242
862	27400
863	27242
864	27684
865	28130
866	28580
867	28738
868	28580
869	28130
870	27976
871	27530
872	27684
873	27530
874	27088
875	26650
876	26500
877	26066
878	26216
879	25786
880	26216
881	26650
882	27088
883	27242
884	27088
885	27242
886	27684
887	27530
888	27976
889	28130
890	28288
891	28738
892	28580
893	28426
894	28580
895	29034
896	29492
897	29034
898	28580
899	28130
900	28580
901	28426
902	28880
903	29338
904	29800
905	29338
906	29188
907	29650
908	30116
909	29970
910	29504
911	29970
912	30116
913	29650
914	29188
915	29650
916	29800
917	29954
918	29800
919	29954
920	30420
921	30266
922	30116
923	30586
924	30116
925	30586
926	30440
927	30914
928	30772
929	30634
930	30500
931	30978
932	30848
933	30370
934	29896
935	29426
936	28960
937	28834
938	28372
939	27914
940	28372
941	28498
942	28628
943	28762
944	29224
945	29690
946	29828
947	29690
948	30160
949	30298
950	30772
951	31250
952	31112
953	31250
954	31392
955	31538
956	31688
957	31538
958	31060
959	31210
960	31364
961	31842
962	32324
963	32810
964	32656
965	33146
966	33300
967	33458
968	33620
969	33130
970	32968
971	32482
972	32000
973	31842
974	31364
975	31522
976	31364
977	31210
978	31688
979	31210
980	31364
981	31842
982	32324
983	32810
984	32324
985	32482
986	32324
987	32810
988	32656
989	32506
990	32020
991	31538
992	32020
993	31874
994	32360
995	32506
996	32996
997	33490
998	33988
999	33842
1000	34344
