Time	Population
0	1
0.01	1.02
0.02	1.0404
0.03	1.06121
0.04	1.08243
0.05	1.10408
0.06	1.12616
0.07	1.14869
0.08	1.17166
0.09	1.19509
0.1	1.21899
0.11	1.24337
0.12	1.26824
0.13	1.29361
0.14	1.31948
0.15	1.34587
0.16	1.37279
0.17	1.40024
0.18	1.42825
0.19	1.45681
0.2	1.48595
0.21	1.51567
0.22	1.54598
0.23	1.5769
0.24	1.60844
0.25	1.64061
0.26	1.67342
0.27	1.70689
0.28	1.74102
0.29	1.77584
0.3	1.81136
0.31	1.84759
0.32	1.88454
0.33	1.92223
0.34	1.96068
0.35	1.99989
0.36	2.03989
0.37	2.08069
0.38	2.1223
0.39	2.16474
0.4	2.20804
0.41	2.2522
0.42	2.29724
0.43	2.34319
0.44	2.39005
0.45	2.43785
0.46	2.48661
0.47	2.53634
0.48	2.58707
0.49	2.63881
0.5	2.69159
0.51	2.74542
0.52	2.80033
0.53	2.85633
0.54	2.91346
0.55	2.97173
0.56	3.03117
0.57	3.09179
0.58	3.15362
0.59	3.2167
0.6	3.28103
0.61	3.34665
0.62	3.41358
0.63	3.48186
0.64	3.55149
0.65	3.62252
0.66	3.69497
0.67	3.76887
0.68	3.84425
0.69	3.92114
0.7	3.99956
0.71	4.07955
0.72	4.16114
0.73	4.24436
0.74	4.32925
0.75	4.41584
0.76	4.50415
0.77	4.59424
0.78	4.68612
0.79	4.77984
0.8	4.87544
0.81	4.97295
0.82	5.07241
0.83	5.17386
0.84	5.27733
0.85	5.38288
0.86	5.49054
0.87	5.60035
0.88	5.71235
0.89	5.8266
0.9	5.94313
0.91	6.062
0.92	6.18324
0.93	6.3069
0.94	6.43304
0.95	6.5617
0.96	6.69293
0.97	6.82679
0.98	6.96333
0.99	7.10259
1	7.24465
1.01	7.38954
1.02	7.53733
1.03	7.68808
1.04	7.84184
1.05	7.99867
1.06	8.15865
1.07	8.32182
1.08	8.48826
1.09	8.65802
1.1	8.83118
1.11	9.00781
1.12	9.18796
1.13	9.37172
1.14	9.55916
1.15	9.75034
1.16	9.94535
1.17	10.1443
1.18	10.3471
1.19	10.5541
1.2	10.7652
1.21	10.9805
1.22	11.2001
1.23	11.4241
1.24	11.6526
1.25	11.8856
1.26	12.1233
1.27	12.3658
1.28	12.6131
1.29	12.8654
1.3	13.1227
1.31	13.3851
1.32	13.6528
1.33	13.9259
1.34	14.2044
1.35	14.4885
1.36	14.7783
1.37	15.0738
1.38	15.3753
1.39	15.6828
1.4	15.9965
1.41	16.3164
1.42	16.6427
1.43	16.9756
1.44	17.3151
1.45	17.6614
1.46	18.0146
1.47	18.3749
1.48	18.7424
1.49	19.1173
1.5	19.4996
1.51	19.8896
1.52	20.2874
1.53	20.6931
1.54	21.107
1.55	21.5291
1.56	21.9597
1.57	22.3989
1.58	22.8469
1.59	23.3038
1.6	23.7699
1.61	24.2453
1.62	24.7302
1.63	25.2248
1.64	25.7293
1.65	26.2439
1.66	26.7688
1.67	27.3042
1.68	27.8502
1.69	28.4072
1.7	28.9754
1.71	29.5549
1.72	30.146
1.73	30.7489
1.74	31.3639
1.75	31.9912
1.76	32.631
1.77	33.2836
1.78	33.9493
1.79	34.6283
1.8	35.3208
1.81	36.0272
1.82	36.7478
1.83	37.4827
1.84	38.2324
1.85	38.9971
1.86	39.777
1.87	40.5725
1.88	41.384
1.89	42.2117
1.9	43.0559
1.91	43.917
1.92	44.7954
1.93	45.6913
1.94	46.6051
1.95	47.5372
1.96	48.4879
1.97	49.4577
1.98	50.4468
1.99	51.4558
2	52.4849
2.01	53.5346
2.02	54.6053
2.03	55.6974
2.04	56.8113
2.05	57.9476
2.06	59.1065
2.07	60.2886
2.08	61.4944
2.09	62.7243
2.1	63.9788
2.11	65.2584
2.12	66.5635
2.13	67.8948
2.14	69.2527
2.15	70.6378
2.16	72.0505
2.17	73.4915
2.18	74.9614
2.19	76.4606
2.2	77.9898
2.21	79.5496
2.22	81.1406
2.23	82.7634
2.24	84.4187
2.25	86.107
2.26	87.8292
2.27	89.5858
2.28	91.3775
2.29	93.205
2.3	95.0691
2.31	96.9705
2.32	98.9099
2.33	100.888
2.34	102.906
2.35	104.964
2.36	107.063
2.37	109.205
2.38	111.389
2.39	113.616
2.4	115.889
2.41	118.207
2.42	120.571
2.43	122.982
2.44	125.442
2.45	127.951
2.46	130.51
2.47	133.12
2.48	135.782
2.49	138.498
2.5	141.268
2.51	144.093
2.52	146.975
2.53	149.914
2.54	152.913
2.55	155.971
2.56	159.09
2.57	162.272
2.58	165.518
2.59	168.828
2.6	172.205
2.61	175.649
2.62	179.162
2.63	182.745
2.64	186.4
2.65	190.128
2.66	193.93
2.67	197.809
2.68	201.765
2.69	205.8
2.7	209.916
2.71	214.115
2.72	218.397
2.73	222.765
2.74	227.22
2.75	231.765
2.76	236.4
2.77	241.128
2.78	245.951
2.79	250.87
2.8	255.887
2.81	261.005
2.82	266.225
2.83	271.549
2.84	276.98
2.85	282.52
2.86	288.17
2.87	293.934
2.88	299.812
2.89	305.809
2.9	311.925
2.91	318.163
2.92	324.526
2.93	331.017
2.94	337.637
2.95	344.39
