Time	Population
0	30
0.01	32.8357
0.02	35.9311
0.03	39.3088
0.04	42.9933
0.05	47.0107
0.06	51.3894
0.07	56.16
0.08	61.3551
0.09	67.01
0.1	73.1625
0.11	79.8529
0.12	87.1247
0.13	95.0239
0.14	103.6
0.15	112.906
0.16	122.996
0.17	133.932
0.18	145.775
0.19	158.593
0.2	172.455
0.21	187.435
0.22	203.613
0.23	221.069
0.24	239.889
0.25	260.162
0.26	281.982
0.27	305.445
0.28	330.651
0.29	357.704
0.3	386.709
0.31	417.775
0.32	451.014
0.33	486.537
0.34	524.459
0.35	564.894
0.36	607.957
0.37	653.763
0.38	702.423
0.39	754.049
0.4	808.747
0.41	866.623
0.42	927.773
0.43	992.291
0.44	1060.26
0.45	1131.76
0.46	1206.87
0.47	1285.63
0.48	1368.09
0.49	1454.3
0.5	1544.27
0.51	1638.01
0.52	1735.52
0.53	1836.77
0.54	1941.73
0.55	2050.34
0.56	2162.53
0.57	2278.22
0.58	2397.3
0.59	2519.65
0.6	2645.14
0.61	2773.61
0.62	2904.9
0.63	3038.82
0.64	3175.19
0.65	3313.79
0.66	3454.41
0.67	3596.82
0.68	3740.79
0.69	3886.07
0.7	4032.43
0.71	4179.61
0.72	4327.36
0.73	4475.43
0.74	4623.57
0.75	4771.54
0.76	4919.09
0.77	5066
0.78	5212.02
0.79	5356.94
0.8	5500.56
0.81	5642.66
0.82	5783.06
0.83	5921.59
0.84	6058.07
0.85	6192.35
0.86	6324.3
0.87	6453.79
0.88	6580.7
0.89	6704.93
0.9	6826.4
0.91	6945.03
0.92	7060.76
0.93	7173.53
0.94	7283.31
0.95	7390.07
0.96	7493.78
0.97	7594.45
0.98	7692.07
0.99	7786.64
1	7878.2
1.01	7966.76
1.02	8052.35
1.03	8135.01
1.04	8214.77
1.05	8291.7
1.06	8365.84
1.07	8437.24
1.08	8505.97
1.09	8572.08
1.1	8635.64
1.11	8696.71
1.12	8755.36
1.13	8811.65
1.14	8865.66
1.15	8917.46
1.16	8967.11
1.17	9014.68
1.18	9060.25
1.19	9103.87
1.2	9145.62
1.21	9185.56
1.22	9223.76
1.23	9260.28
1.24	9295.19
1.25	9328.54
1.26	9360.41
1.27	9390.84
1.28	9419.89
1.29	9447.62
1.3	9474.08
1.31	9499.33
1.32	9523.42
1.33	9546.39
1.34	9568.29
1.35	9589.17
1.36	9609.08
1.37	9628.05
1.38	9646.12
1.39	9663.34
1.4	9679.75
1.41	9695.37
1.42	9710.26
1.43	9724.43
1.44	9737.92
1.45	9750.76
1.46	9762.99
1.47	9774.63
1.48	9785.71
1.49	9796.25
1.5	9806.28
1.51	9815.83
1.52	9824.91
1.53	9833.55
1.54	9841.77
1.55	9849.58
1.56	9857.02
1.57	9864.09
1.58	9870.82
1.59	9877.21
1.6	9883.3
1.61	9889.08
1.62	9894.58
1.63	9899.81
1.64	9904.78
1.65	9909.51
1.66	9914
1.67	9918.27
1.68	9922.33
