Problem 2.3

Time (s)	Velocity With Air Drag
3.58		10.9072
3.59		10.9093
3.6		10.9114
3.61		10.9135
3.62		10.9155
3.63		10.9176
3.64		10.9197
3.65		10.9218
3.66		10.9239
3.67		10.926
3.68		10.928
3.69		10.9301
3.7		10.9322
3.71		10.9342
3.72		10.9363
3.73		10.9384
3.74		10.9404
3.75		10.9425
3.76		10.9446
3.77		10.9466
3.78		10.9487
3.79		10.9507
3.8		10.9528
3.81		10.9548
3.82		10.9569
3.83		10.9589
3.84		10.9609
3.85		10.963
3.86		10.965
3.87		10.9671
3.88		10.9691
3.89		10.9711
3.9		10.9731
3.91		10.9752
3.92		10.9772
3.93		10.9792
3.94		10.9812
3.95		10.9833
3.96		10.9853
3.97		10.9873
3.98		10.9893
3.99		10.9913
4		10.9933
4.01		10.9953
4.02		10.9973
4.03		10.9993
4.04		11.0013
4.05		11.0033
4.06		11.0053
4.07		11.0073
4.08		11.0093
4.09		11.0113
4.1		11.0133
4.11		11.0153
4.12		11.0173
4.13		11.0192
4.14		11.0212
4.15		11.0232
4.16		11.0252
4.17		11.0272
4.18		11.0291
4.19		11.0311
4.2		11.0331
4.21		11.035
4.22		11.037
4.23		11.039
4.24		11.0409
4.25		11.0429
4.26		11.0448
4.27		11.0468
4.28		11.0487
4.29		11.0507
4.3		11.0526
4.31		11.0546
4.32		11.0565
4.33		11.0585
4.34		11.0604
4.35		11.0624
4.36		11.0643
4.37		11.0662
4.38		11.0682
4.39		11.0701
4.4		11.072
4.41		11.0739
4.42		11.0759
4.43		11.0778
4.44		11.0797
4.45		11.0816
4.46		11.0835
4.47		11.0855
4.48		11.0874
4.49		11.0893
4.5		11.0912
4.51		11.0931
4.52		11.095
4.53		11.0969
4.54		11.0988
4.55		11.1007
4.56		11.1026
4.57		11.1045
4.58		11.1064
4.59		11.1083
4.6		11.1102
4.61		11.1121
4.62		11.114
4.63		11.1158
4.64		11.1177
4.65		11.1196
4.66		11.1215
4.67		11.1234
4.68		11.1252
4.69		11.1271
4.7		11.129
4.71		11.1308
4.72		11.1327
4.73		11.1346
4.74		11.1364
4.75		11.1383
4.76		11.1402
4.77		11.142
4.78		11.1439
4.79		11.1457
4.8		11.1476
4.81		11.1494
4.82		11.1513
4.83		11.1531
4.84		11.155
4.85		11.1568
4.86		11.1586
4.87		11.1605
4.88		11.1623
4.89		11.1642
4.9		11.166
4.91		11.1678
4.92		11.1697
4.93		11.1715
4.94		11.1733
4.95		11.1751
4.96		11.177
4.97		11.1788
4.98		11.1806
4.99		11.1824
5		11.1842
5.01		11.186
5.02		11.1879
5.03		11.1897
5.04		11.1915
5.05		11.1933
5.06		11.1951
5.07		11.1969
5.08		11.1987
5.09		11.2005
5.1		11.2023
5.11		11.2041
5.12		11.2059
