Problem 2.3

Time (s)	Velocity with Water Drag
0.353		1.24664
0.354		1.24388
0.355		1.24114
0.356		1.23841
0.357		1.23569
0.358		1.233
0.359		1.23031
0.36		1.22764
0.361		1.22499
0.362		1.22234
0.363		1.21972
0.364		1.21711
0.365		1.21451
0.366		1.21192
0.367		1.20935
0.368		1.2068
0.369		1.20425
0.37		1.20172
0.371		1.19921
0.372		1.19671
0.373		1.19422
0.374		1.19174
0.375		1.18928
0.376		1.18683
0.377		1.18439
0.378		1.18197
0.379		1.17956
0.38		1.17716
0.381		1.17478
0.382		1.1724
0.383		1.17004
0.384		1.16769
0.385		1.16536
0.386		1.16303
0.387		1.16072
0.388		1.15842
0.389		1.15614
0.39		1.15386
0.391		1.1516
0.392		1.14934
0.393		1.1471
0.394		1.14487
0.395		1.14266
0.396		1.14045
0.397		1.13826
0.398		1.13607
0.399		1.1339
0.4		1.13174
0.401		1.12959
0.402		1.12745
0.403		1.12532
0.404		1.1232
0.405		1.1211
0.406		1.119
0.407		1.11692
0.408		1.11484
0.409		1.11278
0.41		1.11072
0.411		1.10868
0.412		1.10664
0.413		1.10462
0.414		1.10261
0.415		1.10061
0.416		1.09861
0.417		1.09663
0.418		1.09466
0.419		1.09269
0.42		1.09074
0.421		1.0888
0.422		1.08686
0.423		1.08494
0.424		1.08302
0.425		1.08112
0.426		1.07922
0.427		1.07733
0.428		1.07546
0.429		1.07359
0.43		1.07173
0.431		1.06988
0.432		1.06804
0.433		1.06621
0.434		1.06438
0.435		1.06257
0.436		1.06076
0.437		1.05897
0.438		1.05718
0.439		1.0554
0.44		1.05363
0.441		1.05187
0.442		1.05012
0.443		1.04837
0.444		1.04663
0.445		1.04491
0.446		1.04319
0.447		1.04148
0.448		1.03977
0.449		1.03808
0.45		1.03639
0.451		1.03471
0.452		1.03304
0.453		1.03138
0.454		1.02973
0.455		1.02808
0.456		1.02644
0.457		1.02481
0.458		1.02319
0.459		1.02157
0.46		1.01996
0.461		1.01836
0.462		1.01677
0.463		1.01518
0.464		1.01361
0.465		1.01204
0.466		1.01047
0.467		1.00892
0.468		1.00737
0.469		1.00583
0.47		1.00429
0.471		1.00277
0.472		1.00125
0.473		0.999737
0.474		0.998232
0.475		0.996734
0.476		0.995243
0.477		0.993759
0.478		0.992282
0.479		0.990812
0.48		0.989348
0.481		0.987892
0.482		0.986442
0.483		0.984999
0.484		0.983563
0.485		0.982133
0.486		0.98071
0.487		0.979293
0.488		0.977883
0.489		0.97648
0.49		0.975083
0.491		0.973692
0.492		0.972308
0.493		0.970931
0.494		0.969559
0.495		0.968194
0.496		0.966835
0.497		0.965483
0.498		0.964136
0.499		0.962796
0.5		0.961462
0.501		0.960134
0.502		0.958812
0.503		0.957496
0.504		0.956186
0.505		0.954882
0.506		0.953584
0.507		0.952292
0.508		0.951005
0.509		0.949725
0.51		0.94845
0.511		0.947181
0.512		0.945918
0.513		0.944661
0.514		0.943409
0.515		0.942163
0.516		0.940923
0.517		0.939688
0.518		0.938459
0.519		0.937235
0.52		0.936017
0.521		0.934804
0.522		0.933597
0.523		0.932395
0.524		0.931198
0.525		0.930007
0.526		0.928822
0.527		0.927641
0.528		0.926466
0.529		0.925296
0.53		0.924131
0.531		0.922972
0.532		0.921818
0.533		0.920668
0.534		0.919524
0.535		0.918385
0.536		0.917251
0.537		0.916123
0.538		0.914999
0.539		0.91388
0.54		0.912766
0.541		0.911657
0.542		0.910553
0.543		0.909454
0.544		0.90836
0.545		0.90727
0.546		0.906186
0.547		0.905106
0.548		0.904031
0.549		0.90296
0.55		0.901895
0.551		0.900834
0.552		0.899778
0.553		0.898726
0.554		0.897679
0.555		0.896637
