Problem 2.3

Time (s)	Velocity with Water Drag
1.54		0.65084
1.541		0.650821
1.542		0.650802
1.543		0.650783
1.544		0.650764
1.545		0.650746
1.546		0.650727
1.547		0.650708
1.548		0.65069
1.549		0.650672
1.55		0.650653
1.551		0.650635
1.552		0.650617
1.553		0.650599
1.554		0.650581
1.555		0.650563
1.556		0.650545
1.557		0.650527
1.558		0.650509
1.559		0.650492
1.56		0.650474
1.561		0.650457
1.562		0.650439
1.563		0.650422
1.564		0.650404
1.565		0.650387
1.566		0.65037
1.567		0.650353
1.568		0.650336
1.569		0.650319
1.57		0.650302
1.571		0.650285
1.572		0.650268
1.573		0.650252
1.574		0.650235
1.575		0.650218
1.576		0.650202
1.577		0.650185
1.578		0.650169
1.579		0.650153
1.58		0.650136
1.581		0.65012
1.582		0.650104
1.583		0.650088
1.584		0.650072
1.585		0.650056
1.586		0.65004
1.587		0.650025
1.588		0.650009
1.589		0.649993
1.59		0.649978
1.591		0.649962
1.592		0.649946
1.593		0.649931
1.594		0.649916
1.595		0.6499
1.596		0.649885
1.597		0.64987
1.598		0.649855
1.599		0.64984
1.6		0.649825
1.601		0.64981
1.602		0.649795
1.603		0.64978
1.604		0.649765
1.605		0.649751
1.606		0.649736
1.607		0.649722
1.608		0.649707
1.609		0.649693
1.61		0.649678
1.611		0.649664
1.612		0.64965
1.613		0.649635
1.614		0.649621
1.615		0.649607
1.616		0.649593
1.617		0.649579
1.618		0.649565
1.619		0.649551
1.62		0.649537
1.621		0.649523
1.622		0.64951
1.623		0.649496
1.624		0.649482
1.625		0.649469
1.626		0.649455
1.627		0.649442
1.628		0.649428
1.629		0.649415
1.63		0.649402
1.631		0.649389
1.632		0.649375
1.633		0.649362
1.634		0.649349
1.635		0.649336
1.636		0.649323
1.637		0.64931
1.638		0.649297
1.639		0.649285
1.64		0.649272
1.641		0.649259
1.642		0.649246
1.643		0.649234
1.644		0.649221
1.645		0.649209
1.646		0.649196
1.647		0.649184
1.648		0.649171
1.649		0.649159
1.65		0.649147
1.651		0.649135
1.652		0.649122
1.653		0.64911
1.654		0.649098
1.655		0.649086
1.656		0.649074
1.657		0.649062
1.658		0.64905
1.659		0.649039
1.66		0.649027
1.661		0.649015
1.662		0.649003
1.663		0.648992
1.664		0.64898
1.665		0.648968
1.666		0.648957
1.667		0.648945
1.668		0.648934
1.669		0.648923
1.67		0.648911
1.671		0.6489
1.672		0.648889
1.673		0.648878
1.674		0.648867
1.675		0.648855
1.676		0.648844
1.677		0.648833
1.678		0.648822
1.679		0.648811
1.68		0.648801
1.681		0.64879
1.682		0.648779
1.683		0.648768
1.684		0.648757
1.685		0.648747
1.686		0.648736
1.687		0.648726
1.688		0.648715
1.689		0.648705
1.69		0.648694
1.691		0.648684
1.692		0.648673
1.693		0.648663
1.694		0.648653
1.695		0.648642
1.696		0.648632
1.697		0.648622
1.698		0.648612
1.699		0.648602
1.7		0.648592
1.701		0.648582
1.702		0.648572
1.703		0.648562
1.704		0.648552
1.705		0.648542
1.706		0.648532
1.707		0.648523
1.708		0.648513
1.709		0.648503
1.71		0.648494
1.711		0.648484
1.712		0.648474
1.713		0.648465
1.714		0.648455
1.715		0.648446
1.716		0.648436
1.717		0.648427
1.718		0.648418
1.719		0.648408
1.72		0.648399
1.721		0.64839
1.722		0.648381
1.723		0.648372
1.724		0.648362
1.725		0.648353
1.726		0.648344
1.727		0.648335
1.728		0.648326
1.729		0.648317
1.73		0.648308
1.731		0.6483
1.732		0.648291
1.733		0.648282
1.734		0.648273
1.735		0.648264
1.736		0.648256
1.737		0.648247
1.738		0.648238
1.739		0.64823
1.74		0.648221
1.741		0.648213
1.742		0.648204
1.743		0.648196
1.744		0.648187
1.745		0.648179
1.746		0.648171
1.747		0.648162
1.748		0.648154
1.749		0.648146
1.75		0.648138
1.751		0.648129
1.752		0.648121
1.753		0.648113
1.754		0.648105
1.755		0.648097
1.756		0.648089
1.757		0.648081
1.758		0.648073
1.759		0.648065
1.76		0.648057
1.761		0.648049
1.762		0.648041
1.763		0.648034
1.764		0.648026
1.765		0.648018
1.766		0.64801
1.767		0.648003
1.768		0.647995
1.769		0.647987
1.77		0.64798
1.771		0.647972
1.772		0.647965
1.773		0.647957
1.774		0.64795
1.775		0.647942
1.776		0.647935
1.777		0.647928
1.778		0.64792
1.779		0.647913
1.78		0.647906
1.781		0.647898
1.782		0.647891
1.783		0.647884
1.784		0.647877
1.785		0.64787
1.786		0.647862
1.787		0.647855
1.788		0.647848
1.789		0.647841
1.79		0.647834
1.791		0.647827
1.792		0.64782
1.793		0.647813
1.794		0.647807
1.795		0.6478
1.796		0.647793
1.797		0.647786
1.798		0.647779
1.799		0.647772
1.8		0.647766
1.801		0.647759
1.802		0.647752
1.803		0.647746
1.804		0.647739
1.805		0.647733
1.806		0.647726
1.807		0.647719
1.808		0.647713
1.809		0.647706
1.81		0.6477
1.811		0.647693
1.812		0.647687
1.813		0.647681
1.814		0.647674
1.815		0.647668
1.816		0.647662
1.817		0.647655
1.818		0.647649
1.819		0.647643
1.82		0.647637
1.821		0.64763
1.822		0.647624
1.823		0.647618
1.824		0.647612
1.825		0.647606
1.826		0.6476
1.827		0.647594
1.828		0.647588
1.829		0.647582
1.83		0.647576
1.831		0.64757
1.832		0.647564
1.833		0.647558
1.834		0.647552
1.835		0.647546
1.836		0.647541
1.837		0.647535
1.838		0.647529
1.839		0.647523
1.84		0.647518
1.841		0.647512
1.842		0.647506
1.843		0.6475
1.844		0.647495
1.845		0.647489
1.846		0.647484
1.847		0.647478
1.848		0.647472
1.849		0.647467
1.85		0.647461
1.851		0.647456
1.852		0.64745
1.853		0.647445
1.854		0.64744
1.855		0.647434
1.856		0.647429
1.857		0.647423
1.858		0.647418
1.859		0.647413
1.86		0.647408
1.861		0.647402
1.862		0.647397
1.863		0.647392
1.864		0.647387
1.865		0.647381
1.866		0.647376
1.867		0.647371
1.868		0.647366
1.869		0.647361
1.87		0.647356
1.871		0.647351
1.872		0.647346
1.873		0.647341
1.874		0.647336
1.875		0.647331
1.876		0.647326
1.877		0.647321
1.878		0.647316
1.879		0.647311
1.88		0.647306
1.881		0.647301
1.882		0.647296
1.883		0.647292
1.884		0.647287
1.885		0.647282
1.886		0.647277
1.887		0.647272
1.888		0.647268
1.889		0.647263
1.89		0.647258
1.891		0.647254
1.892		0.647249
1.893		0.647244
1.894		0.64724
1.895		0.647235
1.896		0.647231
1.897		0.647226
1.898		0.647221
1.899		0.647217
1.9		0.647212
1.901		0.647208
1.902		0.647203
1.903		0.647199
1.904		0.647195
1.905		0.64719
1.906		0.647186
1.907		0.647181
1.908		0.647177
1.909		0.647173
1.91		0.647168
1.911		0.647164
1.912		0.64716
1.913		0.647155
1.914		0.647151
1.915		0.647147
1.916		0.647143
1.917		0.647138
1.918		0.647134
1.919		0.64713
1.92		0.647126
1.921		0.647122
1.922		0.647118
1.923		0.647113
1.924		0.647109
1.925		0.647105
1.926		0.647101
1.927		0.647097
1.928		0.647093
1.929		0.647089
1.93		0.647085
1.931		0.647081
1.932		0.647077
1.933		0.647073
1.934		0.647069
1.935		0.647065
1.936		0.647062
1.937		0.647058
1.938		0.647054
1.939		0.64705
1.94		0.647046
1.941		0.647042
1.942		0.647038
1.943		0.647035
1.944		0.647031
1.945		0.647027
1.946		0.647023
1.947		0.64702
1.948		0.647016
1.949		0.647012
1.95		0.647008
1.951		0.647005
1.952		0.647001
1.953		0.646998
1.954		0.646994
1.955		0.64699
1.956		0.646987
1.957		0.646983
1.958		0.646979
1.959		0.646976
1.96		0.646972
1.961		0.646969
1.962		0.646965
1.963		0.646962
1.964		0.646958
1.965		0.646955
1.966		0.646951
1.967		0.646948
1.968		0.646945
1.969		0.646941
1.97		0.646938
1.971		0.646934
1.972		0.646931
1.973		0.646928
1.974		0.646924
1.975		0.646921
1.976		0.646918
1.977		0.646914
1.978		0.646911
1.979		0.646908
1.98		0.646904
1.981		0.646901
1.982		0.646898
1.983		0.646895
1.984		0.646891
1.985		0.646888
1.986		0.646885
1.987		0.646882
1.988		0.646879
1.989		0.646876
1.99		0.646872
1.991		0.646869
1.992		0.646866
1.993		0.646863
1.994		0.64686
1.995		0.646857
1.996		0.646854
1.997		0.646851
1.998		0.646848
1.999		0.646845
2		0.646842
2.001		0.646839
2.002		0.646836
2.003		0.646833
2.004		0.64683
2.005		0.646827
2.006		0.646824
2.007		0.646821
2.008		0.646818
2.009		0.646815
2.01		0.646812
2.011		0.646809
2.012		0.646806
2.013		0.646803
2.014		0.646801
2.015		0.646798
2.016		0.646795
2.017		0.646792
2.018		0.646789
2.019		0.646786
2.02		0.646784
2.021		0.646781
2.022		0.646778
2.023		0.646775
2.024		0.646773
2.025		0.64677
2.026		0.646767
2.027		0.646764
2.028		0.646762
2.029		0.646759
2.03		0.646756
2.031		0.646754
2.032		0.646751
2.033		0.646748
2.034		0.646746
2.035		0.646743
2.036		0.646741
2.037		0.646738
2.038		0.646735
2.039		0.646733
2.04		0.64673
2.041		0.646728
2.042		0.646725
2.043		0.646723
2.044		0.64672
2.045		0.646717
2.046		0.646715
2.047		0.646712
2.048		0.64671
2.049		0.646708
2.05		0.646705
2.051		0.646703
2.052		0.6467
2.053		0.646698
2.054		0.646695
2.055		0.646693
2.056		0.64669
2.057		0.646688
2.058		0.646686
2.059		0.646683
2.06		0.646681
2.061		0.646678
2.062		0.646676
2.063		0.646674
2.064		0.646671
2.065		0.646669
2.066		0.646667
2.067		0.646664
2.068		0.646662
2.069		0.64666
2.07		0.646658
2.071		0.646655
2.072		0.646653
2.073		0.646651
2.074		0.646649
2.075		0.646646
2.076		0.646644
2.077		0.646642
2.078		0.64664
2.079		0.646637
2.08		0.646635
2.081		0.646633
2.082		0.646631
2.083		0.646629
2.084		0.646627
2.085		0.646624
2.086		0.646622
2.087		0.64662
2.088		0.646618
2.089		0.646616
2.09		0.646614
2.091		0.646612
2.092		0.64661
2.093		0.646608
2.094		0.646606
2.095		0.646603
2.096		0.646601
2.097		0.646599
2.098		0.646597
2.099		0.646595
2.1		0.646593
2.101		0.646591
2.102		0.646589
2.103		0.646587
2.104		0.646585
2.105		0.646583
2.106		0.646581
2.107		0.646579
2.108		0.646577
2.109		0.646575
2.11		0.646573
2.111		0.646572
2.112		0.64657
2.113		0.646568
2.114		0.646566
2.115		0.646564
2.116		0.646562
2.117		0.64656
2.118		0.646558
2.119		0.646556
2.12		0.646554
2.121		0.646553
2.122		0.646551
2.123		0.646549
2.124		0.646547
2.125		0.646545
2.126		0.646543
2.127		0.646542
2.128		0.64654
2.129		0.646538
2.13		0.646536
2.131		0.646534
2.132		0.646533
2.133		0.646531
2.134		0.646529
2.135		0.646527
2.136		0.646526
2.137		0.646524
2.138		0.646522
2.139		0.64652
2.14		0.646519
2.141		0.646517
2.142		0.646515
2.143		0.646513
2.144		0.646512
2.145		0.64651
2.146		0.646508
2.147		0.646507
2.148		0.646505
2.149		0.646503
2.15		0.646502
2.151		0.6465
2.152		0.646498
2.153		0.646497
2.154		0.646495
2.155		0.646494
2.156		0.646492
2.157		0.64649
2.158		0.646489
2.159		0.646487
2.16		0.646486
2.161		0.646484
2.162		0.646482
2.163		0.646481
2.164		0.646479
2.165		0.646478
2.166		0.646476
2.167		0.646475
2.168		0.646473
2.169		0.646471
2.17		0.64647
2.171		0.646468
2.172		0.646467
2.173		0.646465
2.174		0.646464
2.175		0.646462
2.176		0.646461
2.177		0.646459
2.178		0.646458
2.179		0.646456
2.18		0.646455
2.181		0.646454
2.182		0.646452
2.183		0.646451
2.184		0.646449
2.185		0.646448
2.186		0.646446
2.187		0.646445
2.188		0.646443
2.189		0.646442
2.19		0.646441
2.191		0.646439
2.192		0.646438
2.193		0.646436
2.194		0.646435
2.195		0.646434
2.196		0.646432
2.197		0.646431
2.198		0.64643
2.199		0.646428
2.2		0.646427
2.201		0.646425
2.202		0.646424
2.203		0.646423
2.204		0.646421
2.205		0.64642
2.206		0.646419
2.207		0.646418
2.208		0.646416
2.209		0.646415
2.21		0.646414
2.211		0.646412
2.212		0.646411
2.213		0.64641
2.214		0.646408
2.215		0.646407
2.216		0.646406
2.217		0.646405
2.218		0.646403
2.219		0.646402
2.22		0.646401
2.221		0.6464
2.222		0.646398
2.223		0.646397
2.224		0.646396
2.225		0.646395
2.226		0.646393
2.227		0.646392
2.228		0.646391
2.229		0.64639
2.23		0.646389
2.231		0.646387
2.232		0.646386
2.233		0.646385
2.234		0.646384
2.235		0.646383
2.236		0.646381
2.237		0.64638
2.238		0.646379
2.239		0.646378
2.24		0.646377
2.241		0.646376
2.242		0.646375
2.243		0.646373
2.244		0.646372
2.245		0.646371
2.246		0.64637
2.247		0.646369
2.248		0.646368
2.249		0.646367
2.25		0.646366
2.251		0.646364
2.252		0.646363
2.253		0.646362
2.254		0.646361
2.255		0.64636
2.256		0.646359
2.257		0.646358
2.258		0.646357
2.259		0.646356
2.26		0.646355
2.261		0.646354
2.262		0.646353
2.263		0.646352
2.264		0.64635
2.265		0.646349
2.266		0.646348
2.267		0.646347
2.268		0.646346
2.269		0.646345
2.27		0.646344
2.271		0.646343
2.272		0.646342
2.273		0.646341
2.274		0.64634
2.275		0.646339
2.276		0.646338
2.277		0.646337
2.278		0.646336
2.279		0.646335
2.28		0.646334
2.281		0.646333
2.282		0.646332
2.283		0.646331
2.284		0.64633
2.285		0.646329
2.286		0.646328
2.287		0.646327
2.288		0.646327
2.289		0.646326
2.29		0.646325
2.291		0.646324
2.292		0.646323
2.293		0.646322
2.294		0.646321
2.295		0.64632
2.296		0.646319
2.297		0.646318
2.298		0.646317
2.299		0.646316
2.3		0.646315
2.301		0.646314
2.302		0.646314
2.303		0.646313
2.304		0.646312
2.305		0.646311
2.306		0.64631
2.307		0.646309
2.308		0.646308
2.309		0.646307
2.31		0.646306
2.311		0.646306
2.312		0.646305
2.313		0.646304
2.314		0.646303
2.315		0.646302
2.316		0.646301
2.317		0.6463
2.318		0.6463
2.319		0.646299
2.32		0.646298
2.321		0.646297
2.322		0.646296
2.323		0.646295
2.324		0.646295
2.325		0.646294
2.326		0.646293
2.327		0.646292
2.328		0.646291
2.329		0.646291
2.33		0.64629
2.331		0.646289
2.332		0.646288
2.333		0.646287
2.334		0.646287
2.335		0.646286
2.336		0.646285
2.337		0.646284
2.338		0.646283
2.339		0.646283
2.34		0.646282
2.341		0.646281
2.342		0.64628
2.343		0.64628
2.344		0.646279
2.345		0.646278
2.346		0.646277
2.347		0.646277
2.348		0.646276
2.349		0.646275
2.35		0.646274
2.351		0.646274
2.352		0.646273
2.353		0.646272
2.354		0.646271
2.355		0.646271
2.356		0.64627
2.357		0.646269
2.358		0.646268
2.359		0.646268
2.36		0.646267
2.361		0.646266
2.362		0.646266
2.363		0.646265
2.364		0.646264
2.365		0.646263
2.366		0.646263
2.367		0.646262
2.368		0.646261
2.369		0.646261
2.37		0.64626
2.371		0.646259
2.372		0.646259
2.373		0.646258
2.374		0.646257
2.375		0.646257
2.376		0.646256
2.377		0.646255
2.378		0.646255
2.379		0.646254
2.38		0.646253
2.381		0.646253
2.382		0.646252
2.383		0.646251
2.384		0.646251
2.385		0.64625
2.386		0.646249
2.387		0.646249
2.388		0.646248
2.389		0.646248
2.39		0.646247
2.391		0.646246
2.392		0.646246
2.393		0.646245
2.394		0.646244
2.395		0.646244
2.396		0.646243
2.397		0.646243
2.398		0.646242
2.399		0.646241
2.4		0.646241
2.401		0.64624
2.402		0.646239
2.403		0.646239
2.404		0.646238
2.405		0.646238
2.406		0.646237
2.407		0.646236
2.408		0.646236
2.409		0.646235
2.41		0.646235
2.411		0.646234
2.412		0.646234
2.413		0.646233
2.414		0.646232
2.415		0.646232
2.416		0.646231
2.417		0.646231
2.418		0.64623
2.419		0.64623
2.42		0.646229
2.421		0.646228
2.422		0.646228
2.423		0.646227
2.424		0.646227
2.425		0.646226
2.426		0.646226
2.427		0.646225
2.428		0.646225
2.429		0.646224
2.43		0.646224
2.431		0.646223
2.432		0.646222
2.433		0.646222
2.434		0.646221
2.435		0.646221
2.436		0.64622
2.437		0.64622
2.438		0.646219
2.439		0.646219
2.44		0.646218
2.441		0.646218
2.442		0.646217
2.443		0.646217
2.444		0.646216
2.445		0.646216
2.446		0.646215
2.447		0.646215
2.448		0.646214
2.449		0.646214
2.45		0.646213
2.451		0.646213
2.452		0.646212
2.453		0.646212
2.454		0.646211
2.455		0.646211
2.456		0.64621
2.457		0.64621
2.458		0.646209
2.459		0.646209
2.46		0.646208
2.461		0.646208
2.462		0.646207
2.463		0.646207
2.464		0.646206
2.465		0.646206
2.466		0.646205
2.467		0.646205
2.468		0.646205
2.469		0.646204
2.47		0.646204
2.471		0.646203
2.472		0.646203
2.473		0.646202
2.474		0.646202
2.475		0.646201
2.476		0.646201
2.477		0.6462
2.478		0.6462
2.479		0.6462
2.48		0.646199
2.481		0.646199
2.482		0.646198
2.483		0.646198
2.484		0.646197
2.485		0.646197
2.486		0.646197
2.487		0.646196
2.488		0.646196
2.489		0.646195
2.49		0.646195
2.491		0.646194
2.492		0.646194
2.493		0.646194
2.494		0.646193
2.495		0.646193
2.496		0.646192
2.497		0.646192
2.498		0.646191
2.499		0.646191
2.5		0.646191
2.501		0.64619
2.502		0.64619
2.503		0.646189
2.504		0.646189
2.505		0.646189
2.506		0.646188
2.507		0.646188
2.508		0.646187
2.509		0.646187
2.51		0.646187
2.511		0.646186
2.512		0.646186
2.513		0.646185
2.514		0.646185
2.515		0.646185
2.516		0.646184
2.517		0.646184
2.518		0.646184
2.519		0.646183
2.52		0.646183
2.521		0.646182
2.522		0.646182
2.523		0.646182
2.524		0.646181
2.525		0.646181
2.526		0.646181
2.527		0.64618
2.528		0.64618
2.529		0.64618
2.53		0.646179
2.531		0.646179
2.532		0.646178
2.533		0.646178
2.534		0.646178
2.535		0.646177
2.536		0.646177
2.537		0.646177
2.538		0.646176
2.539		0.646176
2.54		0.646176
2.541		0.646175
2.542		0.646175
2.543		0.646175
2.544		0.646174
2.545		0.646174
2.546		0.646174
2.547		0.646173
2.548		0.646173
2.549		0.646173
2.55		0.646172
2.551		0.646172
2.552		0.646172
2.553		0.646171
2.554		0.646171
2.555		0.646171
2.556		0.64617
2.557		0.64617
2.558		0.64617
2.559		0.646169
2.56		0.646169
2.561		0.646169
2.562		0.646168
2.563		0.646168
2.564		0.646168
2.565		0.646167
2.566		0.646167
2.567		0.646167
2.568		0.646166
2.569		0.646166
2.57		0.646166
2.571		0.646166
2.572		0.646165
2.573		0.646165
2.574		0.646165
2.575		0.646164
2.576		0.646164
2.577		0.646164
2.578		0.646163
2.579		0.646163
2.58		0.646163
2.581		0.646163
2.582		0.646162
2.583		0.646162
2.584		0.646162
2.585		0.646161
2.586		0.646161
2.587		0.646161
2.588		0.64616
2.589		0.64616
2.59		0.64616
2.591		0.64616
2.592		0.646159
2.593		0.646159
2.594		0.646159
2.595		0.646159
2.596		0.646158
2.597		0.646158
2.598		0.646158
2.599		0.646157
2.6		0.646157
2.601		0.646157
2.602		0.646157
2.603		0.646156
2.604		0.646156
2.605		0.646156
2.606		0.646156
2.607		0.646155
2.608		0.646155
2.609		0.646155
2.61		0.646154
2.611		0.646154
2.612		0.646154
2.613		0.646154
2.614		0.646153
2.615		0.646153
2.616		0.646153
2.617		0.646153
2.618		0.646152
2.619		0.646152
2.62		0.646152
2.621		0.646152
2.622		0.646151
2.623		0.646151
2.624		0.646151
2.625		0.646151
2.626		0.64615
2.627		0.64615
2.628		0.64615
2.629		0.64615
2.63		0.646149
2.631		0.646149
2.632		0.646149
2.633		0.646149
2.634		0.646148
2.635		0.646148
2.636		0.646148
2.637		0.646148
2.638		0.646148
2.639		0.646147
2.64		0.646147
2.641		0.646147
2.642		0.646147
2.643		0.646146
2.644		0.646146
2.645		0.646146
2.646		0.646146
2.647		0.646145
2.648		0.646145
2.649		0.646145
2.65		0.646145
2.651		0.646145
2.652		0.646144
2.653		0.646144
2.654		0.646144
2.655		0.646144
2.656		0.646143
2.657		0.646143
2.658		0.646143
2.659		0.646143
2.66		0.646143
2.661		0.646142
2.662		0.646142
2.663		0.646142
2.664		0.646142
2.665		0.646142
2.666		0.646141
2.667		0.646141
2.668		0.646141
2.669		0.646141
2.67		0.64614
2.671		0.64614
2.672		0.64614
2.673		0.64614
2.674		0.64614
2.675		0.646139
2.676		0.646139
2.677		0.646139
2.678		0.646139
2.679		0.646139
2.68		0.646138
2.681		0.646138
2.682		0.646138
2.683		0.646138
2.684		0.646138
2.685		0.646137
2.686		0.646137
2.687		0.646137
2.688		0.646137
2.689		0.646137
2.69		0.646137
2.691		0.646136
2.692		0.646136
2.693		0.646136
2.694		0.646136
2.695		0.646136
2.696		0.646135
2.697		0.646135
2.698		0.646135
2.699		0.646135
2.7		0.646135
2.701		0.646134
2.702		0.646134
2.703		0.646134
2.704		0.646134
2.705		0.646134
2.706		0.646134
2.707		0.646133
2.708		0.646133
2.709		0.646133
2.71		0.646133
2.711		0.646133
2.712		0.646133
2.713		0.646132
2.714		0.646132
2.715		0.646132
2.716		0.646132
2.717		0.646132
2.718		0.646132
2.719		0.646131
2.72		0.646131
2.721		0.646131
2.722		0.646131
2.723		0.646131
2.724		0.64613
2.725		0.64613
2.726		0.64613
2.727		0.64613
2.728		0.64613
2.729		0.64613
2.73		0.64613
2.731		0.646129
2.732		0.646129
2.733		0.646129
2.734		0.646129
2.735		0.646129
2.736		0.646129
2.737		0.646128
2.738		0.646128
2.739		0.646128
2.74		0.646128
2.741		0.646128
2.742		0.646128
2.743		0.646127
2.744		0.646127
2.745		0.646127
2.746		0.646127
2.747		0.646127
2.748		0.646127
2.749		0.646127
2.75		0.646126
2.751		0.646126
2.752		0.646126
2.753		0.646126
2.754		0.646126
2.755		0.646126
2.756		0.646126
2.757		0.646125
2.758		0.646125
2.759		0.646125
2.76		0.646125
2.761		0.646125
2.762		0.646125
2.763		0.646125
2.764		0.646124
2.765		0.646124
2.766		0.646124
2.767		0.646124
2.768		0.646124
2.769		0.646124
2.77		0.646124
2.771		0.646123
2.772		0.646123
2.773		0.646123
2.774		0.646123
2.775		0.646123
2.776		0.646123
2.777		0.646123
2.778		0.646122
2.779		0.646122
2.78		0.646122
2.781		0.646122
2.782		0.646122
2.783		0.646122
2.784		0.646122
2.785		0.646122
2.786		0.646121
2.787		0.646121
2.788		0.646121
2.789		0.646121
2.79		0.646121
2.791		0.646121
2.792		0.646121
2.793		0.64612
2.794		0.64612
2.795		0.64612
2.796		0.64612
2.797		0.64612
2.798		0.64612
2.799		0.64612
2.8		0.64612
2.801		0.64612
2.802		0.646119
2.803		0.646119
2.804		0.646119
2.805		0.646119
2.806		0.646119
2.807		0.646119
2.808		0.646119
2.809		0.646119
2.81		0.646118
2.811		0.646118
2.812		0.646118
2.813		0.646118
2.814		0.646118
2.815		0.646118
2.816		0.646118
2.817		0.646118
2.818		0.646118
2.819		0.646117
2.82		0.646117
2.821		0.646117
2.822		0.646117
2.823		0.646117
2.824		0.646117
2.825		0.646117
2.826		0.646117
2.827		0.646117
2.828		0.646116
2.829		0.646116
2.83		0.646116
2.831		0.646116
2.832		0.646116
2.833		0.646116
2.834		0.646116
2.835		0.646116
2.836		0.646116
2.837		0.646115
2.838		0.646115
2.839		0.646115
2.84		0.646115
2.841		0.646115
2.842		0.646115
2.843		0.646115
2.844		0.646115
2.845		0.646115
2.846		0.646114
2.847		0.646114
2.848		0.646114
2.849		0.646114
2.85		0.646114
2.851		0.646114
2.852		0.646114
2.853		0.646114
2.854		0.646114
2.855		0.646114
2.856		0.646113
2.857		0.646113
2.858		0.646113
2.859		0.646113
2.86		0.646113
2.861		0.646113
2.862		0.646113
2.863		0.646113
2.864		0.646113
2.865		0.646113
2.866		0.646113
2.867		0.646112
2.868		0.646112
2.869		0.646112
2.87		0.646112
2.871		0.646112
2.872		0.646112
2.873		0.646112
2.874		0.646112
2.875		0.646112
2.876		0.646112
2.877		0.646112
2.878		0.646111
2.879		0.646111
2.88		0.646111
2.881		0.646111
2.882		0.646111
2.883		0.646111
2.884		0.646111
2.885		0.646111
2.886		0.646111
2.887		0.646111
2.888		0.646111
2.889		0.64611
2.89		0.64611
2.891		0.64611
2.892		0.64611
2.893		0.64611
2.894		0.64611
2.895		0.64611
2.896		0.64611
2.897		0.64611
2.898		0.64611
2.899		0.64611
2.9		0.64611
2.901		0.646109
2.902		0.646109
2.903		0.646109
2.904		0.646109
2.905		0.646109
2.906		0.646109
2.907		0.646109
2.908		0.646109
2.909		0.646109
2.91		0.646109
2.911		0.646109
2.912		0.646109
2.913		0.646109
2.914		0.646108
2.915		0.646108
2.916		0.646108
2.917		0.646108
2.918		0.646108
2.919		0.646108
2.92		0.646108
2.921		0.646108
2.922		0.646108
2.923		0.646108
2.924		0.646108
2.925		0.646108
2.926		0.646108
2.927		0.646107
2.928		0.646107
2.929		0.646107
2.93		0.646107
2.931		0.646107
2.932		0.646107
2.933		0.646107
2.934		0.646107
2.935		0.646107
2.936		0.646107
2.937		0.646107
2.938		0.646107
2.939		0.646107
2.94		0.646107
2.941		0.646106
2.942		0.646106
2.943		0.646106
2.944		0.646106
2.945		0.646106
2.946		0.646106
2.947		0.646106
2.948		0.646106
2.949		0.646106
2.95		0.646106
2.951		0.646106
2.952		0.646106
2.953		0.646106
2.954		0.646106
2.955		0.646106
2.956		0.646105
2.957		0.646105
2.958		0.646105
2.959		0.646105
2.96		0.646105
2.961		0.646105
2.962		0.646105
2.963		0.646105
2.964		0.646105
2.965		0.646105
2.966		0.646105
2.967		0.646105
2.968		0.646105
2.969		0.646105
2.97		0.646105
2.971		0.646104
2.972		0.646104
2.973		0.646104
2.974		0.646104
2.975		0.646104
2.976		0.646104
2.977		0.646104
2.978		0.646104
2.979		0.646104
2.98		0.646104
2.981		0.646104
2.982		0.646104
2.983		0.646104
2.984		0.646104
2.985		0.646104
2.986		0.646104
2.987		0.646104
2.988		0.646103
2.989		0.646103
2.99		0.646103
2.991		0.646103
2.992		0.646103
2.993		0.646103
2.994		0.646103
2.995		0.646103
2.996		0.646103
2.997		0.646103
2.998		0.646103
2.999		0.646103
3		0.646103
3.001		0.646103
3.002		0.646103
3.003		0.646103
3.004		0.646103
3.005		0.646103
3.006		0.646102
3.007		0.646102
3.008		0.646102
3.009		0.646102
3.01		0.646102
3.011		0.646102
3.012		0.646102
3.013		0.646102
3.014		0.646102
3.015		0.646102
3.016		0.646102
3.017		0.646102
3.018		0.646102
3.019		0.646102
3.02		0.646102
3.021		0.646102
3.022		0.646102
3.023		0.646102
3.024		0.646102
3.025		0.646101
3.026		0.646101
3.027		0.646101
3.028		0.646101
3.029		0.646101
3.03		0.646101
3.031		0.646101
3.032		0.646101
3.033		0.646101
3.034		0.646101
3.035		0.646101
3.036		0.646101
3.037		0.646101
3.038		0.646101
3.039		0.646101
3.04		0.646101
3.041		0.646101
3.042		0.646101
3.043		0.646101
3.044		0.646101
3.045		0.646101
3.046		0.6461
3.047		0.6461
3.048		0.6461
3.049		0.6461
3.05		0.6461
3.051		0.6461
3.052		0.6461
3.053		0.6461
3.054		0.6461
3.055		0.6461
3.056		0.6461
3.057		0.6461
3.058		0.6461
3.059		0.6461
3.06		0.6461
3.061		0.6461
3.062		0.6461
3.063		0.6461
3.064		0.6461
3.065		0.6461
3.066		0.6461
3.067		0.6461
3.068		0.6461
3.069		0.646099
3.07		0.646099
3.071		0.646099
3.072		0.646099
3.073		0.646099
3.074		0.646099
3.075		0.646099
3.076		0.646099
3.077		0.646099
3.078		0.646099
3.079		0.646099
3.08		0.646099
3.081		0.646099
3.082		0.646099
3.083		0.646099
3.084		0.646099
3.085		0.646099
3.086		0.646099
3.087		0.646099
3.088		0.646099
3.089		0.646099
3.09		0.646099
3.091		0.646099
3.092		0.646099
